index,pets,dogs,cats
57713,no importance,no importance,no importance
57714,no importance,no importance,no importance
57715,likes dogs and dislikes cats,like,like
57716,likes dogs,like,no importance
57717,no importance,no importance,no importance
57718,no importance,no importance,no importance
57719,likes dogs and likes cats,like,like
57720,no importance,no importance,no importance
57721,has dogs,own,no importance
57722,no importance,no importance,no importance
57723,likes dogs and likes cats,like,like
57724,likes dogs,like,no importance
57725,likes dogs and likes cats,like,like
57726,no importance,no importance,no importance
57727,likes dogs and dislikes cats,like,like
57728,no importance,no importance,no importance
57729,no importance,no importance,no importance
57730,likes cats,no importance,like
57731,likes dogs,like,no importance
57732,no importance,no importance,no importance
57733,no importance,no importance,no importance
57734,no importance,no importance,no importance
57735,no importance,no importance,no importance
57736,likes dogs,like,no importance
57737,has dogs,own,no importance
57738,likes dogs and likes cats,like,like
57739,no importance,no importance,no importance
57740,likes dogs and likes cats,like,like
57741,likes dogs,like,no importance
57742,likes dogs and has cats,like,own
57743,likes dogs and likes cats,like,like
57744,likes dogs,like,no importance
57745,has dogs and likes cats,own,like
57746,has dogs,own,no importance
57747,no importance,no importance,no importance
57748,likes dogs and likes cats,like,like
57749,likes dogs,like,no importance
57750,likes dogs and likes cats,like,like
57751,no importance,no importance,no importance
57752,has dogs and likes cats,own,like
57753,likes dogs and likes cats,like,like
57754,dislikes dogs and dislikes cats,like,like
57755,no importance,no importance,no importance
57756,likes dogs,like,no importance
57757,has dogs and has cats,own,own
57758,no importance,no importance,no importance
57759,no importance,no importance,no importance
57760,no importance,no importance,no importance
57761,likes dogs and dislikes cats,like,like
57762,has dogs and has cats,own,own
57763,likes dogs and dislikes cats,like,like
57764,likes dogs and has cats,like,own
57765,likes dogs and likes cats,like,like
57766,has dogs and has cats,own,own
57767,no importance,no importance,no importance
57768,no importance,no importance,no importance
57769,has dogs and likes cats,own,like
57770,no importance,no importance,no importance
57771,likes dogs and likes cats,like,like
57772,likes dogs,like,no importance
57773,no importance,no importance,no importance
57774,has dogs,own,no importance
57775,likes dogs and has cats,like,own
57776,likes dogs and likes cats,like,like
57777,has cats,no importance,own
57778,likes dogs and likes cats,like,like
57779,likes dogs and has cats,like,own
57780,likes dogs and likes cats,like,like
57781,no importance,no importance,no importance
57782,likes dogs and likes cats,like,like
57783,no importance,no importance,no importance
57784,no importance,no importance,no importance
57785,likes dogs and likes cats,like,like
57786,dislikes dogs and likes cats,like,like
57787,likes dogs and likes cats,like,like
57788,has dogs and likes cats,own,like
57789,no importance,no importance,no importance
57790,has dogs and likes cats,own,like
57791,no importance,no importance,no importance
57792,no importance,no importance,no importance
57793,no importance,no importance,no importance
57794,no importance,no importance,no importance
57795,no importance,no importance,no importance
57796,no importance,no importance,no importance
57797,likes dogs and likes cats,like,like
57798,likes dogs and likes cats,like,like
57799,likes dogs and has cats,like,own
57800,likes dogs,like,no importance
57801,no importance,no importance,no importance
57802,likes dogs,like,no importance
57803,has dogs,own,no importance
57804,no importance,no importance,no importance
57805,likes dogs and has cats,like,own
57806,no importance,no importance,no importance
57807,has dogs and has cats,own,own
57808,no importance,no importance,no importance
57809,no importance,no importance,no importance
57810,likes cats,no importance,like
57811,no importance,no importance,no importance
57812,likes dogs and dislikes cats,like,like
57813,likes dogs and likes cats,like,like
57814,no importance,no importance,no importance
57815,no importance,no importance,no importance
57816,has dogs and dislikes cats,own,like
57817,likes cats,no importance,like
57818,likes dogs and likes cats,like,like
57819,has cats,no importance,own
57820,has dogs and likes cats,own,like
57821,no importance,no importance,no importance
57822,no importance,no importance,no importance
57823,no importance,no importance,no importance
57824,likes dogs,like,no importance
57825,no importance,no importance,no importance
57826,likes dogs and has cats,like,own
57827,no importance,no importance,no importance
57828,likes dogs,like,no importance
57829,no importance,no importance,no importance
57830,no importance,no importance,no importance
57831,likes dogs and likes cats,like,like
57832,likes dogs and likes cats,like,like
57833,has cats,no importance,own
57834,likes dogs and likes cats,like,like
57835,likes dogs and likes cats,like,like
57836,no importance,no importance,no importance
57837,has cats,no importance,own
57838,likes dogs and likes cats,like,like
57839,no importance,no importance,no importance
57840,likes cats,no importance,like
57841,no importance,no importance,no importance
57842,likes dogs and has cats,like,own
57843,has dogs,own,no importance
57844,has dogs and likes cats,own,like
57845,no importance,no importance,no importance
57846,likes dogs and dislikes cats,like,like
57847,no importance,no importance,no importance
57848,no importance,no importance,no importance
57849,likes dogs and dislikes cats,like,like
57850,has dogs and likes cats,own,like
57851,likes dogs,like,no importance
57852,likes dogs and has cats,like,own
57853,no importance,no importance,no importance
57854,likes dogs and likes cats,like,like
57855,likes dogs and likes cats,like,like
57856,likes dogs,like,no importance
57857,no importance,no importance,no importance
57858,no importance,no importance,no importance
57859,has dogs,own,no importance
57860,has dogs and likes cats,own,like
57861,has cats,no importance,own
57862,likes dogs and likes cats,like,like
57863,likes dogs and likes cats,like,like
57864,no importance,no importance,no importance
57865,has dogs,own,no importance
57866,no importance,no importance,no importance
57867,no importance,no importance,no importance
57868,no importance,no importance,no importance
57869,no importance,no importance,no importance
57870,likes dogs,like,no importance
57871,likes dogs and likes cats,like,like
57872,likes dogs and likes cats,like,like
57873,no importance,no importance,no importance
57874,no importance,no importance,no importance
57875,no importance,no importance,no importance
57876,no importance,no importance,no importance
57877,no importance,no importance,no importance
57878,likes dogs,like,no importance
57879,has dogs and has cats,own,own
57880,likes dogs and likes cats,like,like
57881,likes dogs and likes cats,like,like
57882,has cats,no importance,own
57883,no importance,no importance,no importance
57884,no importance,no importance,no importance
57885,has dogs and likes cats,own,like
57886,has dogs,own,no importance
57887,no importance,no importance,no importance
57888,no importance,no importance,no importance
57889,no importance,no importance,no importance
57890,no importance,no importance,no importance
57891,likes dogs and likes cats,like,like
57892,no importance,no importance,no importance
57893,no importance,no importance,no importance
57894,likes dogs and likes cats,like,like
57895,no importance,no importance,no importance
57896,likes dogs and likes cats,like,like
57897,dislikes dogs and likes cats,like,like
57898,has dogs and dislikes cats,own,like
57899,likes dogs,like,no importance
57900,likes dogs,like,no importance
57901,no importance,no importance,no importance
57902,has dogs,own,no importance
57903,has dogs and likes cats,own,like
57904,has cats,no importance,own
57905,likes dogs and likes cats,like,like
57906,likes dogs and likes cats,like,like
57907,no importance,no importance,no importance
57908,likes dogs,like,no importance
57909,no importance,no importance,no importance
57910,likes dogs and likes cats,like,like
57911,no importance,no importance,no importance
57912,likes dogs,like,no importance
57913,no importance,no importance,no importance
