index,speaks,fluent,good
41695,english (fluently),english,
41696,spanish (okay),english,spanish
41697,"english (fluently), french",english,french
41698,"english (fluently), spanish (okay), french",english,"spanish, french"
41699,english (fluently),english,
41700,"english (fluently), hebrew (okay)",english,hebrew
41701,english (fluently),english,
41702,"english (fluently), spanish",english,spanish
41703,english (fluently),english,
41704,english (fluently),english,
41705,english (fluently),english,
41706,english (fluently),english,
41707,english (fluently),english,
41708,"english (fluently), other (fluently), spanish (fluently)",english spanish,
41709,"english (fluently), spanish (okay)",english,spanish
41710,english (fluently),english,
41711,english (fluently),english,
41712,"english (fluently), french",english,french
41713,english (fluently),english,
41714,"english (fluently), chinese (fluently)","english, chinese",
41715,english (fluently),english,
41716,"english (fluently), chinese (okay), spanish (okay)",english,"chinese, spanish"
41717,"english (fluently), french, spanish",english,"french, spanish"
41718,english (fluently),english,
41719,english (fluently),english,
41720,english (fluently),english,
41721,"english (fluently), english (fluently)",english,
41722,english (fluently),english,
41723,"english (fluently), chinese (okay)",english,chinese
41724,english (fluently),english,
41725,english (fluently),english,
41726,english (fluently),english,
41727,english (fluently),english,
41728,english (fluently),english,
41729,english (fluently),english,
41730,english (fluently),english,
41731,english (fluently),english,
41732,"english (fluently), spanish (okay)",english,spanish
41733,"english (fluently), spanish (okay)",english,spanish
41734,english (fluently),english,
41735,english (fluently),english,
41736,"english (fluently), spanish (fluently), german (okay)","english, spanish",german
41737,"english (fluently), tagalog (fluently), spanish (fluently), italian (okay)","english, tagalog, spanish",italian
41738,"english (fluently), spanish (okay)",english,spanish
41739,english (fluently),english,
41740,english (fluently),english,
41741,"english (fluently), italian (okay), spanish (fluently)","english, spanish",italian
41742,english (fluently),english,
41743,english (fluently),english,
41744,english (fluently),english,
41745,english (fluently),english,
41746,"english (fluently), spanish (fluently)","english, spanish",
41747,"english (fluently), spanish (okay)",english,spanish
41748,english (fluently),english,
41749,english (fluently),english,
41750,english (fluently),english,
41751,"english (fluently), french (fluently)","english, french",
41752,"english (fluently), french (fluently), c++","english, french",c++
41753,"english (fluently), russian (okay)",english,russian
41754,english (fluently),english,
41755,"english (fluently), spanish (okay)",english,spanish
41756,english (fluently),english,
41757,english (fluently),english,
41758,"english (fluently), chinese (okay)",english,chinese
41759,english (fluently),english,
41760,english (fluently),english,
41761,english (fluently),english,
41762,"english (fluently), vietnamese (okay)",english,vietnamese
41763,english (fluently),english,
41764,english (fluently),english,
41765,english (fluently),english,
41766,english (fluently),english,
41767,"english (fluently), spanish (fluently), german (okay)","english, spanish",german
41768,"english (fluently), portuguese (fluently), spanish (okay)","english, portuguese",spanish
41769,"english (fluently), chinese (fluently), spanish (okay)","english, chinese",spanish
41770,"english (fluently), spanish (okay)",english,spanish
41771,english (fluently),english,
41772,english (fluently),english,
41773,english (fluently),english,
41774,english (fluently),english,
41775,english (fluently),english,
41776,english (fluently),english,
41777,english (fluently),english,
41778,"english (fluently), chinese (fluently), french (okay)","english, chinese",french
41779,english (fluently),english,
41780,english (fluently),english,
41781,english (fluently),english,
41782,english (fluently),english,
41783,english (fluently),english,
41784,"english (fluently), c++ (fluently)","english, c++",
41785,"english (fluently), german (fluently), portuguese (fluently)","english, german, portuguese",
41786,english (fluently),english,
41787,"english (fluently), c++ (okay), other",english,c++
41788,english (fluently),english,
41789,english (fluently),english,
41790,"english (fluently), spanish (okay)",english,spanish
41791,english (fluently),english,
41792,english (fluently),english,
41793,"english (fluently), spanish (fluently)","english, spanish",
41794,"english (fluently), spanish",english,spanish
41795,english (fluently),english,
41796,english (fluently),english,
41797,english (fluently),english,
41798,english (fluently),english,
41799,"english (fluently), chinese (fluently), german (fluently)","english, chinese, german",
41800,"english (fluently), french (okay)",english,french
41801,english (fluently),english,
41802,english (fluently),english,
41803,english (fluently),english,
41804,english (fluently),english,
41805,"english (fluently), spanish (okay)",english,spanish
41806,english (fluently),english,
41807,english (fluently),english,
41808,"english (fluently), russian (fluently), turkish (fluently), other (fluently)","english, russian, turkish",
41809,"english (fluently), arabic (fluently)","english, arabic",
41810,english (fluently),english,
41811,english (fluently),english,
41812,english (fluently),english,
41813,"english (fluently), spanish (okay)",english,spanish
41814,"english (fluently), japanese (fluently), french (okay)","english, japanese",french
41815,english (fluently),english,
41816,english (fluently),english,
41817,english (fluently),english,
41818,english (fluently),english,
41819,english (fluently),english,
41820,english (fluently),english,
41821,"english (fluently), german (okay)",english,german
41822,"english (fluently), spanish (fluently)","english, spanish",
41823,"english (fluently), russian (fluently)","english, russian",
41824,"english (fluently), french",english,french
41825,"english (fluently), japanese (fluently)","english, japanese",
41826,"english (fluently), spanish (okay)",english,spanish
41827,"english (fluently), other",english,
41828,"english (fluently), spanish (fluently)","english, spanish",
41829,english (fluently),english,
41830,"english (fluently), spanish (okay)",english,spanish
41831,"english (fluently), french (okay)",english,french
41832,english (okay),english,english
41833,english (fluently),english,
41834,english (fluently),english,
41835,"english (fluently), spanish (okay)",english,spanish
41836,english (fluently),english,
41837,english (fluently),english,
41838,english (fluently),english,
41839,english (fluently),english,
41840,english (fluently),english,
41841,english (fluently),english,
41842,"english (fluently), spanish (okay)",english,spanish
41843,english (fluently),english,
41844,english (fluently),english,
41845,"english (fluently), spanish (okay)",english,spanish
41846,english (fluently),english,
41847,"english (fluently), spanish (okay), thai (okay)",english,"spanish, thai"
41848,english (fluently),english,
41849,"english (fluently), chinese (fluently)","english, chinese",
41850,english (fluently),english,
41851,"english (fluently), russian (fluently)","english, russian",
41852,english (fluently),english,
41853,,english,
41854,english (fluently),english,
41855,english (fluently),english,
41856,english (fluently),english,
41857,english (fluently),english,
41858,"english (fluently), vietnamese (okay), japanese (okay)",english,"vietnamese, japanese"
