index,religion,religion_name,seriousness
54427,catholicism but not too serious about it,catholicism,not too serious
54428,christianity,christianity,no importance
54429,catholicism and laughing about it,catholicism,laughing
54430,agnosticism,agnosticism,no importance
54431,agnosticism,agnosticism,no importance
54432,agnosticism but not too serious about it,agnosticism,not too serious
54433,rather not disclose,rather not disclose,no importance
54434,rather not disclose,rather not disclose,no importance
54435,christianity,christianity,no importance
54436,rather not disclose,rather not disclose,no importance
54437,christianity but not too serious about it,christianity,not too serious
54438,judaism and laughing about it,judaism,laughing
54439,atheism but not too serious about it,atheism,not too serious
54440,other,other,no importance
54441,other,other,no importance
54442,christianity and very serious about it,christianity,very serious
54443,christianity,christianity,no importance
54444,agnosticism and laughing about it,agnosticism,laughing
54445,christianity but not too serious about it,christianity,not too serious
54446,rather not disclose,rather not disclose,no importance
54447,atheism,atheism,no importance
54448,christianity,christianity,no importance
54449,rather not disclose,rather not disclose,no importance
54450,other,other,no importance
54451,catholicism,catholicism,no importance
54452,rather not disclose,rather not disclose,no importance
54453,atheism and laughing about it,atheism,laughing
54454,buddhism and somewhat serious about it,buddhism,somewhat serious
54455,atheism and laughing about it,atheism,laughing
54456,rather not disclose,rather not disclose,no importance
54457,other and laughing about it,other,no importance
54458,rather not disclose,rather not disclose,no importance
54459,agnosticism and laughing about it,agnosticism,laughing
54460,catholicism but not too serious about it,catholicism,not too serious
54461,rather not disclose,rather not disclose,no importance
54462,rather not disclose,rather not disclose,no importance
54463,rather not disclose,rather not disclose,no importance
54464,christianity but not too serious about it,christianity,not too serious
54465,atheism,atheism,no importance
54466,agnosticism but not too serious about it,agnosticism,not too serious
54467,christianity,christianity,no importance
54468,rather not disclose,rather not disclose,no importance
54469,buddhism and somewhat serious about it,buddhism,somewhat serious
54470,other,other,no importance
54471,other and laughing about it,other,no importance
54472,rather not disclose,rather not disclose,no importance
54473,christianity and somewhat serious about it,christianity,somewhat serious
54474,rather not disclose,rather not disclose,no importance
54475,agnosticism but not too serious about it,agnosticism,not too serious
54476,rather not disclose,rather not disclose,no importance
54477,rather not disclose,rather not disclose,no importance
54478,atheism but not too serious about it,atheism,not too serious
54479,rather not disclose,rather not disclose,no importance
54480,rather not disclose,rather not disclose,no importance
54481,atheism,atheism,no importance
54482,judaism and laughing about it,judaism,laughing
54483,agnosticism but not too serious about it,agnosticism,not too serious
54484,christianity and laughing about it,christianity,laughing
54485,atheism and somewhat serious about it,atheism,somewhat serious
54486,christianity,christianity,no importance
54487,other and laughing about it,other,no importance
54488,rather not disclose,rather not disclose,no importance
54489,agnosticism,agnosticism,no importance
54490,rather not disclose,rather not disclose,no importance
54491,agnosticism,agnosticism,no importance
54492,rather not disclose,rather not disclose,no importance
54493,buddhism,buddhism,no importance
54494,atheism but not too serious about it,atheism,not too serious
54495,catholicism and somewhat serious about it,catholicism,somewhat serious
54496,other,other,no importance
54497,rather not disclose,rather not disclose,no importance
54498,agnosticism,agnosticism,no importance
54499,judaism but not too serious about it,judaism,not too serious
54500,rather not disclose,rather not disclose,no importance
54501,atheism but not too serious about it,atheism,not too serious
54502,buddhism and laughing about it,buddhism,laughing
54503,rather not disclose,rather not disclose,no importance
54504,atheism but not too serious about it,atheism,not too serious
54505,atheism but not too serious about it,atheism,not too serious
54506,rather not disclose,rather not disclose,no importance
54507,agnosticism and laughing about it,agnosticism,laughing
54508,rather not disclose,rather not disclose,no importance
54509,christianity but not too serious about it,christianity,not too serious
54510,atheism,atheism,no importance
54511,rather not disclose,rather not disclose,no importance
54512,christianity and somewhat serious about it,christianity,somewhat serious
54513,rather not disclose,rather not disclose,no importance
54514,other,other,no importance
54515,rather not disclose,rather not disclose,no importance
54516,atheism and laughing about it,atheism,laughing
54517,rather not disclose,rather not disclose,no importance
54518,rather not disclose,rather not disclose,no importance
54519,judaism but not too serious about it,judaism,not too serious
54520,other,other,no importance
54521,christianity but not too serious about it,christianity,not too serious
54522,agnosticism and somewhat serious about it,agnosticism,somewhat serious
